,T Air,RH,T Out,RH Out,CO2,Vent Lee,Vent Wind,Exhaust Fan Speed,Blackout Screen,Energy Screen,VPD Air
2024-06-24 01:50:00,21.3,76.5,21.1,76,374,0,0,50,0,90,0.5941
2024-06-24 01:55:00,21.3,76.5,21,76,372,0,0,50,0,90,0.5953
2024-06-24 02:00:00,21.4,75.5,20.9,76,373,0,0,50,0,90,0.6244
2024-06-24 02:05:00,21.4,75,20.8,77,374,0,0,51,0,90,0.6385
2024-06-24 02:10:00,21.4,75,20.8,77,375,0,0,50,0,90,0.6385
2024-06-24 02:15:00,21.5,74,20.7,77,374,0,0,50,0,90,0.6667
2024-06-24 02:20:00,21.5,74,20.7,77,374,0,0,50,0,90,0.6667
2024-06-24 02:25:00,21.5,74,20.7,78,374,0,0,51,0,90,0.6681
2024-06-24 02:30:00,21.6,73.5,20.7,78,375,0,0,52,0,90,0.6823
2024-06-24 02:35:00,21.7,73.5,20.7,78,376,0,0,57,0,90,0.6865
2024-06-24 02:40:00,21.7,73,20.7,78,374,0,0,59,0,90,0.7009
2024-06-24 02:45:00,21.8,72.5,20.7,78,378,0,0,63,0,90,0.7182
2024-06-24 02:50:00,21.8,72,20.8,77,378,0,0,63,0,90,0.7313
2024-06-24 02:55:00,21.8,72,20.7,77,376,0,0,63,0,90,0.7313
2024-06-24 03:00:00,21.8,71.5,20.7,77,379,0,0,63,0,90,0.7444
2024-06-24 03:05:00,21.8,71.5,20.7,77,379,0,0,63,0,90,0.7444
2024-06-24 03:10:00,21.7,71.5,20.6,77,377,0,0,61,0,90,0.7413
2024-06-24 03:15:00,21.7,71.5,20.6,78,377,0,0,61,0,90,0.7413
2024-06-24 03:20:00,21.7,71.5,20.6,78,378,0,0,61,0,90,0.7413
2024-06-24 03:25:00,21.8,71.5,20.5,78,377,0,0,63,0,90,0.7428
2024-06-24 03:30:00,21.7,71.5,20.4,78,379,0,0,61,0,90,0.7413
2024-06-24 03:35:00,21.7,71.5,20.4,78,381,0,0,61,0,90,0.7413
2024-06-24 03:40:00,21.7,71.5,20.3,78,380,0,0,58,0,90,0.7383
2024-06-24 03:45:00,21.6,71.5,20.3,78,380,0,0,58,0,90,0.7368
2024-06-24 03:50:00,21.6,71.5,20.3,78,380,0,0,54,0,90,0.7353
2024-06-24 03:55:00,21.6,71.5,20.2,78,378,0,0,54,0,90,0.7353
2024-06-24 04:00:00,21.6,71.5,20.2,79,376,0,0,54,0,90,0.7353
2024-06-24 04:05:00,21.6,71.5,20.2,79,377,0,0,53,0,90,0.7353
2024-06-24 04:10:00,21.6,71.5,20.2,79,378,0,0,53,0,90,0.7353
2024-06-24 04:15:00,21.5,71.5,20.1,79,377,0,0,52,0,90,0.7323
2024-06-24 04:20:00,21.5,71.5,20,79,378,0,0,50,0,90,0.7308
2024-06-24 04:25:00,21.4,72,19.9,79,378,0,0,50,0,90,0.7151
2024-06-24 04:30:00,21.3,72.5,19.9,80,379,0,0,50,0,90,0.698
2024-06-24 04:35:00,21.3,72.5,19.8,80,374,0,0,50,0,90,0.6952
2024-06-24 04:40:00,21.2,72.5,19.7,80,379,0,0,50,0,90,0.6909
2024-06-24 04:45:00,21.1,73.5,19.6,80,377,0,0,50,0,90,0.6617
2024-06-24 04:50:00,21,73.5,19.6,81,376,0,0,50,0,90,0.6577
2024-06-24 04:55:00,20.9,73.5,19.5,81,375,0,0,50,0,90,0.655
2024-06-24 05:00:00,20.8,73.5,19.4,81,374,0,0,50,0,90,0.6523
2024-06-24 05:05:00,21,73,19.3,81,375,100,48,0,0,90,0.6715
2024-06-24 05:10:00,21.2,72,19.2,81,374,0,0,51,0,90,0.7049
2024-06-24 05:15:00,20.8,73.5,19.1,82,377,73,31,0,0,90,0.651
2024-06-24 05:20:00,21.1,72.5,19,82,378,88,32,0,0,90,0.6881
2024-06-24 05:25:00,21,72.5,18.9,82,378,0,0,51,0,90,0.6825
2024-06-24 05:30:00,20.8,73.5,18.9,82,377,100,29,0,0,90,0.651
2024-06-24 05:35:00,21.1,72,18.8,83,376,88,42,0,0,90,0.7006
2024-06-24 05:40:00,20.9,72.5,18.8,83,376,0,0,51,0,90,0.6811
2024-06-24 05:45:00,20.7,73.5,18.7,83,377,95,39,0,0,90,0.6483
2024-06-24 05:50:00,20.9,72.5,18.6,83,376,100,50,0,0,90,0.6797
2024-06-24 05:55:00,21,72,18.4,84,375,100,59,0,0,90,0.6949
