EC_Drain,drain,pH_Drain,time,water
2.55619791664921,0.5,6.84097222225482,43382,3.10270000439547
2.54107638900181,0.5,6.98500000003841,43383,3.0153
2.477204861089,0.5,7.0796701388982,43384,2.3598
2.3849305555346,0.4,6.99211805556138,43385,2.622
2.6009548609912,0.49,7.10170138889703,43386,2.4909
2.75446180556487,0.3,6.86119791655607,43387,2.62200001318641
2.90708333322274,0.6,6.97777777790001,43388,3.2775
2.79458333331354,0.3,6.77414930552179,43389,2.3598
2.73572916667132,0.61,6.79375000001978,43390,3.0153
2.72386029416079,NaN,6.39485294116537,43391,NaN
2.76379061372781,0.29,6.198519855585,43392,2.3598
2.90798611112974,0.29,6.08241319443979,43393,2.2287
2.81730902778825,0.29,6.16583333332286,43394,2.2287
2.97890624999302,0.09,5.96847222218496,43395,2.22870000879094
3.31053819443164,0.2,5.85996527780688,43396,2.2287
3.32262152773004,0.2,5.86182291664455,43397,2.2287
3.27468750000349,0.4,6.08545138871543,43398,2.22870000439547
3.32548611114021,0.29,6.12055555546941,43399,2.2287
3.38131944447821,0.3,6.06545138893545,43400,2.2287
3.39581751822615,0.2,5.97647080321889,43401,2.2287
3.28621527777661,0.4,5.98729166649437,43402,2.4909
3.15651041670334,0.9,6.74633680550258,43403,3.0153
3.38366319430067,0.88,7.03486111107269,43404,2.4909
3.44164930561202,0.29,6.7477083333601,43405,1.5732
3.3459027777673,0.77,6.72124999992084,43406,2.622
3.11093749995227,1.42,6.94675347235204,43407,2.7531
3.02565972221989,0.8,6.7411805552587,43408,2.8842
2.7708680555963,0.24,6.57824652785519,43409,2.3598
2.58437499998487,0.28,6.46815972216285,43410,2.2724
2.72331597222397,0.37,6.66784722224783,43411,2.4909
2.74815972229557,0.55,6.64493055548571,43412,2.6657
2.64279513888248,0.38,6.63138888895757,43413,2.2287
2.65274305555206,0.38,6.62725694434316,43414,2.2287
2.7628819444328,0.37,6.54416666671439,43415,2.2287
2.84067708333159,0.37,6.50901041668355,43416,2.2287
2.95819444438158,0.37,6.39208333343229,43417,2.2287
3.07571180557593,0.37,6.25336805547756,43418,2.2287
3.10451388887725,0.37,6.331666666669,43419,2.2287
3.14798611110296,0.38,6.36076388896688,43420,2.2287
3.16366319444037,0.37,6.29000000003492,43421,2.2287
3.17092013894302,0.29,6.10829861118213,43422,2.2287
3.19670138893546,0.3,5.88850694441533,43423,2.2287
3.27954861110762,0.48,6.15163194439788,43424,2.2287
3.32989583333682,0.49,6.34022569449509,43425,2.2287
3.4200347222327,0.47,6.44736111106455,43426,2.2287
3.32697916679356,0.48,6.46166666670975,43427,2.2287
3.31109374995402,0.58,6.59404513891043,43428,2.2287
3.32221189595835,0.47,6.61531598520144,43429,2.2287
3.3300694444328,0.55,6.54588541661836,43430,2.2287
3.31003472216285,0.5,6.6037499999837,43431,2.3161
3.38625000003492,0.56,6.80343749996042,43432,2.2287
3.44170138880507,0.57,6.82829861104359,43433,2.2287
3.33791666665852,0.58,6.67781249999068,43434,2.2287
3.33607638890519,0.57,6.68965277778593,43435,2.2287
3.38553819441476,0.57,6.60461805557301,43436,2.2287
3.45513888887958,0.47,6.47076388885163,43437,2.2287
3.50199652783075,0.57,6.46105902774227,43438,2.2287
3.52767361114022,0.59,6.5421180556126,43439,2.2287
3.52064236100226,0.66,6.49437499991618,43440,2.2287
3.53694444454922,0.66,6.53722222241314,43441,2.2287
