time,CO2_Vip,HeatTemp_Vip,HumDef_Vip,MinPipeGrow_Vip,MinPipeLow_Vip,VentLeewMin_Vip,VentLeew_Vip,VentWind_Vip,WaterSupInt_Vip
43326.55208,NaN,20,1.8,0,0,0,21,24,NaN
43326.55556,NaN,20,1.8,0,0,0,21,24,NaN
43326.55903,NaN,20,1.8,0,0,0,21,24,NaN
43326.5625,NaN,20,1.8,0,0,0,21,24,NaN
43326.56597,NaN,20,1.8,0,0,0,21,24,NaN
43326.56944,NaN,20,1.8,0,0,0,21,24,NaN
43326.57292,NaN,20,1.8,0,0,0,21,24,NaN
43326.57639,NaN,20,1.8,0,0,0,21,24,NaN
43326.57986,NaN,20,1.8,0,0,0,21,24,NaN
43326.58333,NaN,20,1.8,0,0,0,21,24,NaN
43326.58681,NaN,20,1.8,0,0,0,21,24,NaN
43326.59028,NaN,20,1.8,0,0,0,21,24,NaN
43326.59375,NaN,20,1.8,0,0,0,21,24,NaN
43326.59722,NaN,20,1.8,0,0,0,21,24,NaN
43326.60069,NaN,20,1.8,0,0,0,21,24,NaN
43326.60417,NaN,20,1.8,0,0,0,21,24,NaN
43326.60764,NaN,20,1.8,0,0,0,21,24,NaN
43326.61111,NaN,20,1.8,0,0,0,21,24,NaN
43326.61458,NaN,20,1.8,0,0,0,21,24,NaN
43326.61806,NaN,20,1.8,0,0,0,21,24,NaN
43326.62153,NaN,20,1.8,0,0,0,21,24,NaN
43326.625,NaN,20,1.8,0,0,0,21,24,NaN
43326.62847,NaN,20,1.8,0,0,0,21,24,NaN
43326.63194,NaN,20,1.8,0,0,0,21,24,NaN
43326.63542,NaN,20,1.8,0,0,0,21,24,NaN
43326.63889,NaN,20,1.8,0,0,0,21,24,NaN
43326.64236,NaN,20,1.8,0,0,0,21,24,NaN
43326.64583,NaN,20,1.8,0,0,0,21,24,NaN
43326.64931,NaN,20,1.8,0,0,0,21,24,NaN
43326.65278,NaN,20,1.8,0,0,0,21,24,NaN
43326.65625,NaN,20,1.8,0,0,0,21,24,NaN
43326.65972,NaN,20,1.8,0,0,0,21,24,NaN
43326.66319,NaN,20,1.8,0,0,0,21,24,NaN
43326.66667,NaN,20,1.8,0,0,0,21,24,NaN
43326.67014,NaN,20,1.8,0,0,0,21,24,NaN
43326.67361,NaN,20,1.8,0,0,0,21,24,NaN
43326.67708,NaN,20,1.8,0,0,0,21,24,NaN
43326.68056,NaN,20,1.8,0,0,0,21,24,NaN
43326.68403,NaN,20,1.8,0,0,0,21,24,NaN
43326.6875,NaN,20,1.8,0,0,0,21,24,NaN
43326.69097,NaN,20,1.8,0,0,0,21,24,NaN
43326.69444,NaN,20,1.8,0,0,0,21,24,NaN
43326.69792,NaN,20,1.8,0,0,0,21,24,NaN
43326.70139,NaN,20,1.8,0,0,0,21,24,NaN
43326.70486,NaN,20,1.8,0,0,0,21,24,NaN
43326.70833,NaN,20,1.8,0,0,0,21,24,NaN
43326.71181,NaN,20,1.8,0,0,0,21,24,NaN
43326.71528,NaN,20,1.8,0,0,0,21,24,NaN
43326.71875,NaN,20,1.8,0,0,0,21,24,NaN
43326.72222,NaN,20,1.8,0,0,0,21,24,NaN
43326.72569,NaN,20,1.8,0,0,0,21,24,NaN
43326.72917,NaN,20,1.8,0,0,0,21,24,NaN
43326.73264,NaN,20,1.8,0,0,0,21,24,NaN
43326.73611,NaN,20,1.8,0,0,0,21,24,NaN
43326.73958,NaN,20,1.8,0,0,0,21,24,NaN
43326.74306,NaN,20,1.8,0,0,0,21,24,NaN
43326.74653,NaN,20,1.8,0,0,0,21,24,NaN
43326.75,NaN,20,1.8,0,0,0,21,24,NaN
43326.75347,NaN,20,1.8,0,0,0,21,24,NaN
43326.75694,NaN,20,1.8,0,0,0,21,24,NaN
43326.76042,NaN,20,1.8,0,0,0,21,24,NaN
43326.76389,NaN,20,1.8,0,0,0,21,24,NaN
43326.76736,NaN,20,1.8,0,0,0,21,24,NaN
43326.77083,NaN,20,1.8,0,0,0,21,24,NaN
43326.77431,NaN,20,1.8,0,0,0,21,24,NaN
43326.77778,NaN,20,1.8,0,0,0,21,24,NaN
43326.78125,NaN,20,1.8,0,0,0,21,24,NaN
43326.78472,NaN,20,1.8,0,0,0,21,24,NaN
43326.78819,NaN,20,1.8,0,0,0,21,24,NaN
43326.79167,NaN,20,1.8,0,0,0,21,24,NaN
43326.79514,NaN,20,1.8,0,0,0,21,24,NaN
43326.79861,NaN,20,1.8,0,0,0,21,24,NaN
43326.80208,NaN,20,1.8,0,0,0,21,24,NaN
43326.80556,NaN,20,1.8,0,0,0,21,24,NaN
