EC_Drain,drain,pH_Drain,time,water
2.4787326389244,0.69,5.6380555556033,43413,2.7552
2.39255208337234,0.94,5.65524305556371,43414,2.952
2.32940972225365,0.94,5.60250000003608,43415,2.952
2.27041666666783,0.85,5.51032986118271,43416,2.952
2.19493055558582,1.12,5.48123263884523,43417,3.5424
2.1428298610919,0.94,5.46427083335545,43418,3.3456
2.08901041663465,0.87,5.46805555560212,43419,3.3456
2.05218750001746,1.03,5.50689236108841,43420,3.3456
2.02854166670392,0.95,5.49024305559281,43421,3.3456
2.06618055553344,0.68,5.38166666667131,43422,3.1488
2.15489583331005,0.86,5.30371527788488,43423,3.3456
2.27387152773063,0.86,5.25598958334905,43424,3.3456
