2021-06-05_200350 CO2: 402.35ppm, temp: 26.56'C, rh: 71.75%
2021-06-05_201357 CO2: 400.37ppm, temp: 26.56'C, rh: 71.71%
2021-06-05_202404 CO2: 404.52ppm, temp: 26.59'C, rh: 71.66%
2021-06-05_203410 CO2: 406.50ppm, temp: 26.56'C, rh: 71.85%
2021-06-05_204417 CO2: 402.65ppm, temp: 26.53'C, rh: 71.91%
2021-06-05_205424 CO2: 406.53ppm, temp: 26.57'C, rh: 71.96%
2021-06-05_210424 CO2: 406.48ppm, temp: 26.59'C, rh: 71.91%
2021-06-05_211424 CO2: 410.24ppm, temp: 26.57'C, rh: 72.04%
2021-06-05_212424 CO2: 412.58ppm, temp: 26.59'C, rh: 72.20%
2021-06-05_213424 CO2: 416.37ppm, temp: 26.57'C, rh: 72.42%
2021-06-05_214424 CO2: 420.72ppm, temp: 26.59'C, rh: 72.63%
2021-06-05_215424 CO2: 422.78ppm, temp: 26.60'C, rh: 72.68%
2021-06-05_220424 CO2: 428.49ppm, temp: 26.62'C, rh: 72.80%
2021-06-05_221425 CO2: 438.12ppm, temp: 26.64'C, rh: 72.99%
2021-06-05_222425 CO2: 446.16ppm, temp: 26.60'C, rh: 73.10%
2021-06-05_223425 CO2: 452.67ppm, temp: 26.57'C, rh: 73.19%
2021-06-05_224425 CO2: 453.33ppm, temp: 26.56'C, rh: 73.44%
2021-06-05_225425 CO2: 454.16ppm, temp: 26.54'C, rh: 73.49%
2021-06-05_230425 CO2: 457.62ppm, temp: 26.57'C, rh: 73.54%
2021-06-05_231425 CO2: 463.84ppm, temp: 26.60'C, rh: 73.53%
2021-06-05_232425 CO2: 459.07ppm, temp: 26.63'C, rh: 73.56%
2021-06-05_233425 CO2: 459.61ppm, temp: 26.57'C, rh: 73.62%
2021-06-05_234426 CO2: 459.60ppm, temp: 26.60'C, rh: 73.70%
2021-06-05_235426 CO2: 457.54ppm, temp: 26.59'C, rh: 73.71%
2021-06-06_000426 CO2: 455.38ppm, temp: 26.57'C, rh: 73.52%
2021-06-06_001426 CO2: 451.93ppm, temp: 24.99'C, rh: 52.49%
2021-06-06_002426 CO2: 456.08ppm, temp: 22.01'C, rh: 55.56%
2021-06-06_003426 CO2: 450.70ppm, temp: 20.15'C, rh: 66.54%
2021-06-06_004426 CO2: 453.99ppm, temp: 19.82'C, rh: 73.21%
2021-06-06_005426 CO2: 449.39ppm, temp: 20.03'C, rh: 72.32%
2021-06-06_010427 CO2: 450.17ppm, temp: 19.85'C, rh: 72.33%
2021-06-06_011427 CO2: 459.06ppm, temp: 19.36'C, rh: 77.48%
2021-06-06_012427 CO2: 474.17ppm, temp: 19.30'C, rh: 79.55%
2021-06-06_013427 CO2: 490.48ppm, temp: 19.34'C, rh: 79.81%
2021-06-06_014427 CO2: 492.69ppm, temp: 19.37'C, rh: 79.86%
2021-06-06_015427 CO2: 487.34ppm, temp: 19.36'C, rh: 79.80%
2021-06-06_020427 CO2: 486.97ppm, temp: 19.30'C, rh: 80.04%
2021-06-06_021427 CO2: 485.96ppm, temp: 19.30'C, rh: 80.02%
2021-06-06_022427 CO2: 482.33ppm, temp: 19.27'C, rh: 80.17%
2021-06-06_023428 CO2: 483.60ppm, temp: 19.23'C, rh: 80.61%
2021-06-06_024428 CO2: 479.79ppm, temp: 19.23'C, rh: 80.48%
2021-06-06_025428 CO2: 480.88ppm, temp: 19.22'C, rh: 80.67%
2021-06-06_030428 CO2: 473.37ppm, temp: 19.17'C, rh: 80.61%
2021-06-06_031428 CO2: 475.73ppm, temp: 19.14'C, rh: 80.85%
2021-06-06_032428 CO2: 481.03ppm, temp: 19.14'C, rh: 81.08%
2021-06-06_033428 CO2: 490.87ppm, temp: 19.13'C, rh: 81.02%
2021-06-06_034428 CO2: 488.88ppm, temp: 19.17'C, rh: 81.03%
2021-06-06_035429 CO2: 487.06ppm, temp: 19.16'C, rh: 81.29%
2021-06-06_040429 CO2: 493.11ppm, temp: 19.17'C, rh: 81.43%
2021-06-06_041429 CO2: 490.73ppm, temp: 19.17'C, rh: 81.33%
2021-06-06_042429 CO2: 492.43ppm, temp: 19.20'C, rh: 81.24%
2021-06-06_043429 CO2: 480.78ppm, temp: 19.19'C, rh: 81.15%
2021-06-06_044429 CO2: 482.86ppm, temp: 19.19'C, rh: 81.39%
2021-06-06_045429 CO2: 477.11ppm, temp: 19.19'C, rh: 81.33%
2021-06-06_050429 CO2: 480.85ppm, temp: 19.19'C, rh: 81.42%
2021-06-06_051429 CO2: 482.41ppm, temp: 19.20'C, rh: 81.46%
2021-06-06_052430 CO2: 479.65ppm, temp: 19.14'C, rh: 81.72%
2021-06-06_053430 CO2: 487.85ppm, temp: 19.16'C, rh: 81.60%
2021-06-06_054430 CO2: 490.21ppm, temp: 19.11'C, rh: 81.75%
2021-06-06_055430 CO2: 489.47ppm, temp: 19.10'C, rh: 81.85%
2021-06-06_060430 CO2: 491.92ppm, temp: 19.05'C, rh: 81.87%
2021-06-06_061430 CO2: 499.14ppm, temp: 19.00'C, rh: 82.26%
2021-06-06_062430 CO2: 494.50ppm, temp: 18.97'C, rh: 82.18%
2021-06-06_063430 CO2: 490.28ppm, temp: 18.96'C, rh: 82.45%
2021-06-06_064431 CO2: 494.23ppm, temp: 18.97'C, rh: 82.42%
2021-06-06_065431 CO2: 491.21ppm, temp: 18.97'C, rh: 82.49%
2021-06-06_070431 CO2: 495.07ppm, temp: 19.00'C, rh: 82.59%
2021-06-06_071431 CO2: 477.58ppm, temp: 18.95'C, rh: 82.57%
2021-06-06_072431 CO2: 474.56ppm, temp: 18.97'C, rh: 82.64%
2021-06-06_073431 CO2: 475.89ppm, temp: 18.96'C, rh: 82.67%
2021-06-06_074431 CO2: 474.27ppm, temp: 18.96'C, rh: 82.77%
2021-06-06_075431 CO2: 473.59ppm, temp: 18.97'C, rh: 82.90%
2021-06-06_080439 CO2: 470.79ppm, temp: 18.99'C, rh: 82.92%
2021-06-06_081446 CO2: 471.25ppm, temp: 18.96'C, rh: 82.95%
2021-06-06_082453 CO2: 471.57ppm, temp: 19.03'C, rh: 83.08%
2021-06-06_083501 CO2: 462.49ppm, temp: 19.07'C, rh: 83.00%
2021-06-06_084508 CO2: 463.48ppm, temp: 19.07'C, rh: 83.02%
2021-06-06_085515 CO2: 454.99ppm, temp: 19.06'C, rh: 83.07%
2021-06-06_090522 CO2: 453.90ppm, temp: 19.40'C, rh: 82.61%
2021-06-06_091529 CO2: 436.65ppm, temp: 23.41'C, rh: 94.87%
2021-06-06_092535 CO2: 432.30ppm, temp: 26.38'C, rh: 91.64%
2021-06-06_093542 CO2: 428.64ppm, temp: 25.77'C, rh: 84.41%
2021-06-06_094549 CO2: 436.10ppm, temp: 25.78'C, rh: 82.65%
2021-06-06_095555 CO2: 431.52ppm, temp: 25.94'C, rh: 82.00%
2021-06-06_100602 CO2: 433.61ppm, temp: 26.11'C, rh: 80.94%
2021-06-06_101609 CO2: 438.48ppm, temp: 26.15'C, rh: 79.98%
2021-06-06_102615 CO2: 435.94ppm, temp: 26.21'C, rh: 79.38%
2021-06-06_103622 CO2: 435.08ppm, temp: 26.24'C, rh: 79.04%
2021-06-06_104629 CO2: 427.60ppm, temp: 26.25'C, rh: 78.73%
2021-06-06_105635 CO2: 424.30ppm, temp: 26.25'C, rh: 78.40%
2021-06-06_110642 CO2: 417.20ppm, temp: 26.24'C, rh: 78.44%
2021-06-06_111648 CO2: 417.02ppm, temp: 26.22'C, rh: 78.50%
2021-06-06_112655 CO2: 413.48ppm, temp: 26.24'C, rh: 78.58%
2021-06-06_113702 CO2: 418.70ppm, temp: 26.28'C, rh: 78.58%
2021-06-06_114708 CO2: 414.85ppm, temp: 26.32'C, rh: 78.29%
2021-06-06_115715 CO2: 412.16ppm, temp: 26.33'C, rh: 78.05%
2021-06-06_120722 CO2: 410.92ppm, temp: 26.33'C, rh: 78.00%
2021-06-06_121728 CO2: 414.65ppm, temp: 26.26'C, rh: 78.16%
2021-06-06_122735 CO2: 415.89ppm, temp: 26.31'C, rh: 78.14%
2021-06-06_123742 CO2: 423.15ppm, temp: 26.33'C, rh: 78.12%
2021-06-06_124748 CO2: 410.13ppm, temp: 26.36'C, rh: 78.03%
2021-06-06_125755 CO2: 406.09ppm, temp: 26.32'C, rh: 77.91%
2021-06-06_130802 CO2: 410.44ppm, temp: 26.28'C, rh: 77.85%
2021-06-06_131808 CO2: 410.37ppm, temp: 26.24'C, rh: 77.79%
2021-06-06_132815 CO2: 411.14ppm, temp: 26.22'C, rh: 77.51%
2021-06-06_133822 CO2: 406.86ppm, temp: 26.22'C, rh: 77.40%
2021-06-06_134828 CO2: 408.11ppm, temp: 26.22'C, rh: 77.27%
2021-06-06_135835 CO2: 406.82ppm, temp: 26.26'C, rh: 77.23%
2021-06-06_140841 CO2: 406.78ppm, temp: 26.28'C, rh: 77.13%
2021-06-06_141848 CO2: 401.63ppm, temp: 26.31'C, rh: 76.90%
2021-06-06_142855 CO2: 398.82ppm, temp: 26.35'C, rh: 76.66%
2021-06-06_143901 CO2: 400.53ppm, temp: 26.53'C, rh: 75.67%
2021-06-06_144908 CO2: 397.73ppm, temp: 26.49'C, rh: 75.50%
2021-06-06_145915 CO2: 395.22ppm, temp: 26.45'C, rh: 75.42%
2021-06-06_150921 CO2: 401.97ppm, temp: 26.40'C, rh: 75.48%
2021-06-06_151928 CO2: 401.49ppm, temp: 26.43'C, rh: 75.41%
2021-06-06_152934 CO2: 403.65ppm, temp: 26.46'C, rh: 75.27%
2021-06-06_153941 CO2: 403.25ppm, temp: 26.43'C, rh: 74.98%
2021-06-06_154948 CO2: 404.21ppm, temp: 26.43'C, rh: 74.81%
2021-06-06_155954 CO2: 405.79ppm, temp: 26.42'C, rh: 74.67%
2021-06-06_161001 CO2: 402.12ppm, temp: 26.40'C, rh: 74.49%
2021-06-06_162008 CO2: 401.17ppm, temp: 26.42'C, rh: 74.36%
2021-06-06_163014 CO2: 399.17ppm, temp: 26.40'C, rh: 74.12%
2021-06-06_164021 CO2: 398.62ppm, temp: 26.39'C, rh: 73.85%
2021-06-06_165028 CO2: 397.70ppm, temp: 26.43'C, rh: 73.72%
2021-06-06_170034 CO2: 396.19ppm, temp: 26.45'C, rh: 73.49%
2021-06-06_171041 CO2: 393.51ppm, temp: 26.42'C, rh: 73.17%
2021-06-06_172048 CO2: 399.68ppm, temp: 26.40'C, rh: 72.86%
2021-06-06_173054 CO2: 389.04ppm, temp: 26.36'C, rh: 72.57%
2021-06-06_174101 CO2: 391.84ppm, temp: 26.32'C, rh: 72.40%
2021-06-06_175107 CO2: 399.27ppm, temp: 26.29'C, rh: 72.42%
2021-06-06_180114 CO2: 400.29ppm, temp: 26.29'C, rh: 72.54%
2021-06-06_181121 CO2: 399.97ppm, temp: 26.29'C, rh: 72.62%
2021-06-06_182128 CO2: 398.22ppm, temp: 26.32'C, rh: 72.58%
2021-06-06_183134 CO2: 401.65ppm, temp: 26.31'C, rh: 72.48%
2021-06-06_184141 CO2: 396.28ppm, temp: 26.33'C, rh: 72.43%
2021-06-06_185147 CO2: 397.35ppm, temp: 26.35'C, rh: 72.14%
2021-06-06_190154 CO2: 399.69ppm, temp: 26.33'C, rh: 72.04%
2021-06-06_191201 CO2: 406.16ppm, temp: 26.36'C, rh: 71.93%
